Id,Word,Transcription
28308,UDAY,UW D EY
28309,KUIKEN,K UW K AH N
28310,EXTENSIVE,IH K S T EH N S IH V
28311,OVERDRAWN,OW V ER D R AO N
28312,MISCHARACTERIZES,M IH S K AE R AH K T ER AY Z IH Z
28313,SCHNITZLER,SH N IH T S L ER
28314,AVILES,AA V IY L EH S
28315,GENOA,JH EH N OW AH
28316,COCHRAN,K AA K R AH N
28317,SHOUTED,SH AW T AH D
28318,CERN,S ER N
28319,DESMA,D IY S M AH
28320,RESTRICTIVE,R IY S T R IH K T IH V
28321,CLERIC,K L EH R IH K
28322,DAELIM,D EY L IY M
28323,BREAKAGE,B R EY K IH JH
28324,INTERNATIONALLY,IH N ER N AE SH AH N AH L IY
28325,STROPE,S T R OW P
28326,GUIDA,G IY D AH
28327,CLUELESS,K L UW L AH S
28328,TOMSIC,T AA M S IH K
28329,GUTWAKS,G AH T W AA K S
28330,CANTEL,K AE N T EH L
28331,AMPHIBIOUS,AE M F IH B IY AH S
28332,COINCIDENT,K OW IH N S AH D AH N T
28333,SWIMSUITS,S W IH M S UW T S
28334,WATKIN,W AO T K IH N
28335,HAR,HH AA R
28336,CASTAWAY,K AE S T AH W EY
28337,AVOIDANCE,AH V OY D AH N S
28338,TROTT,T R AA T
28339,CRIMPING,K R IH M P IH NG
28340,MAEZ,M AY EH Z
28341,FLEXTIME,F L EH K S T AY M
28342,GEORGIO,JH AO R JH IY OW
28343,MCCREIGHT,M AH K R EY T
28344,ARLIN,AA R L IH N
28345,GABEIRA,G AH B EY R AH
28346,YANDOW,Y AE N D OW
28347,LEICHLITER,L AY K L IY T ER
28348,APPROPRIATING,AH P R OW P R IY EY T IH NG
28349,RECESSION,R IH S EH SH AH N
28350,FERRETED,F EH R AH T IH D
28351,TRICKEY,T R IH K IY
28352,BOESKYS,B OW S K IY Z
28353,WHEN,W EH N
28354,VALENCIA'S,V AH L EH N S IY AH Z
28355,POUGHKEEPSIE'S,P AH K IH P S IY Z
28356,GRAFFAM,G R AE F AH M
28357,QUAST,K W AA S T
28358,RETREAT,R IY T R IY T
28359,SOONG,S UW NG
28360,VERBRUGGE,V ER B R AH G
28361,CARICATURE,K EH R AH K AH CH ER
28362,RED-HANDED,R EH D HH AE N D AH D
28363,RODY,R OW D IY
28364,SEEMA,S IY M AA
28365,PREPPIE,P R EH P IY
28366,MUGGER,M AH G ER
28367,KINCANNON,K IH N K AE N AH N
28368,LYCOMING,L AY K OW M IH NG
28369,COMPAQ'S,K AA M P AE K S
28370,SHRIKELIKE,SH R AY K L AY K
28371,KITCH,K IH CH
28372,BOBAK,B OW B AH K
28373,DESTABILIZATION,D IY S T EY B AH L AH Z EY SH AH N
28374,RESPONDING,R IH S P AA N D IH NG
28375,WINGBACK,W IH NG B AE K
28376,PLUNGER'S,P L AH N JH ER Z
28377,ZIRKLE,Z ER K AH L
28378,NUNN'S,N AH N Z
28379,PRIORE,P R IY AO R IY
28380,MORCOM,M AO R K AH M
28381,UNRECONCILED,AH N R EH K AH N S AY L D
28382,GELLERT,G EH L ER T
28383,ORVIN,AO R V IH N
28384,PLASSE,P L AE S
28385,BEDPANS,B EH D P AE N Z
28386,UNABRIDGED,AH N AH B R IH JH D
28387,WOOLEVER,W UH L EH V ER
28388,ALPHA'S,AE L F AH Z
28389,CRESTS,K R EH S T S
28390,CONCLUSIVELY,K AH N K L UW S IH V L IY
28391,WALKE,W AO K
28392,ZINNO,Z IH N OW
28393,STERILIZING,S T EH R AH L AY Z IH NG
28394,KOEPSELL,K OW P S EH L
28395,TIPPY,T IH P IY
28396,LIFESAVER,L AY F S EY V ER
28397,ROSTRUM,R AA S T R AH M
28398,POLICE,P AH L IY S
28399,STANCHING,S T AE N CH IH NG
28400,MURTAGH,M ER T AH G
28401,GERVASE,G ER V AH S
28402,APPEARING,AH P IH R IH NG
28403,STEAM,S T IY M
28404,TIGAR,T AY G AA R
28405,HANNA'S,HH AE N AH Z
28406,SELLEY,S EH L IY
28407,GIESER,G IY S ER
28408,GARRETS,G EH R AH T S
28409,KNOTTED,N AA T IH D
28410,INFATUATES,IH N F AE CH UW EY T S
28411,COLONIALISM,K AH L OW N IY AH L IH Z AH M
28412,BANTAM,B AE N T AH M
28413,HARDGRAVE,HH AA R D G R EY V
28414,IOWAN,AY AH W AH N
28415,ULLMER,AH L M ER
28416,PELKEY,P EH L K IY
28417,O'DONOVAN,OW D AA N AH V AH N
28418,LULU,L UW L UW
28419,PAINKILLER,P EY N K IH L ER
28420,BERUDI,B AH R UW D IY
28421,SPORTSCASTER,S P AO R T S K AE S T ER
28422,SCIENTIFICS,S AY AH N T IH F IH K S
28423,DINNER,D IH N ER
28424,FORESHADOWING,F AO R SH AE D OW IH NG
28425,MAXILLA,M AE K S IH L AH
28426,CHOICE,CH OY S
28427,MISCHARACTERIZATIONS,M IH S K AE R AH K T ER AH Z EY SH AH N Z
28428,SZCZECH,SH EH K
28429,PENNEBAKER,P EH N IH B AH K ER
28430,GEPPERT,G EH P ER T
28431,MOSIE,M AA S IY
28432,TICKNER,T IH K N ER
28433,GRASPS,G R AE S P S
28434,DIESELS,D IY Z AH L Z
28435,GOELLER,G OW L ER
28436,KENSLER,K EH N S L ER
28437,ACCUSATIVE,AH K Y UW Z AH T IH V
28438,WAGONEERS,W AE G AH N IH R Z
28439,PRESET,P R IY S EH T
28440,ACCUSER,AH K Y UW Z ER
28441,CURRIER,K ER IY ER
28442,BARNETT'S,B AA R N EH T S
28443,TACTFUL,T AE K T F AH L
28444,CABEZAS,K AH B EY Z AH Z
28445,PANMUNJOM,P AE N M UW N JH AO M
28446,HOWERTER,HH AW ER T ER
28447,FLAPPED,F L AE P T
28448,MISPERCEIVES,M IH S P ER S IY V Z
28449,BUKER,B Y UW K ER
28450,GUYER,G AY ER
28451,FUNDAMENTALISTS(4),F AH N D AH M EH N AH L IH S
28452,ANINAT,AE N IH N AE T
28453,SHOALS,SH OW L Z
28454,SMOSHING,S M UH SH IH NG
28455,INTOXICATED,IH N T AA K S AH K EY T AH D
28456,NICOSON,N IH K AH S AH N
28457,FLOURS,F L AW ER Z
28458,KENICHI,K EH N IY CH IY
28459,LENE,L IY N
28460,KIRKMAN,K ER K M AH N
28461,HEALTHCARE,HH EH L TH K EH R
28462,SCHIRO,S K IH R OW
28463,LEGISLATING,L EH JH IH S L EY T IH NG
28464,ASPERITY,AH S P EH R IH T IY
28465,KOMARIK,K OW M AA R IH K
28466,SEKULOW,S EH K UW L OW
28467,DAVAO,D EY V OW
28468,MOLEN,M OW L AH N
28469,RATIONALIZE,R AE SH AH N AH L AY Z
28470,OHLMEYER,OW L M AY R
28471,MURTON,M ER T AH N
28472,GARGOYLE,G AA R G OY L
28473,READOUT,R IY D AW T
28474,VIGLUND'S,V IH G L AH N D Z
28475,WANTONLY,W AA N T AH N L IY
28476,COMPLICATED,K AA M P L AH K EY T AH D
28477,BEEFED,B IY F T
28478,INTERVENED,IH N T ER V IY N D
28479,FAMULARO,F AA M UW L AA R OW
28480,FEATHERED,F EH DH ER D
28481,RIKLIS,R IH K L IH S
28482,COMET'S,K AA M AH T S
28483,EQUITATION,EH K W AH T EY SH AH N
28484,GARDENIAS,G AA R D IY N Y AH Z
28485,ENUNCIATED,IH N AH N S IY EY T IH D
28486,MACNEAL,M AH K N IY L
28487,LOYALTY,L OY AH L T IY
28488,IWEN,IH W AH N
28489,DEMERIT,D IY M EH R AH T
28490,JFET,JH F EH T
28491,BLUSHING,B L AH SH IH NG
28492,EVERGLADES',EH V ER G L EY D Z
28493,CONTENTIONS,K AH N T EH N SH AH N Z
28494,BELAFONTE,B EH L AH F AA N T IY
28495,ROSTUCA,R AO S T UW K AH
28496,TOUSSAINT,T UW S AE N
28497,AGUIRRE'S,AA G W IH R EY Z
28498,HARVEY,HH AA R V IY
28499,JARGON,JH AA R G AH N
28500,UENOHARA,UW EY N OW HH AA R AH
28501,LET'S,L EH T S
28502,O'BRIAN,OW B R AY AH N
28503,MAB,M AE B
28504,DISCOVERED,D IH S K AH V ER D
28505,BOGAN,B OW G AH N
28506,LENOX,L EH N AH K S
28507,DARMON,D AA R M AH N
28508,HONSINGER,HH AA N S IH NG ER
28509,NEUKIRCHEN,N UW K IH R CH AH N
28510,GINGKO,G IH NG K OW
28511,WOLLE,W AA L
28512,AMSTER,AE M S T ER
28513,ARANT,AA R AH N T
28514,T.S,T IY Z
28515,INTERMOUNTAIN,IH N T ER M AW N T IH N
28516,ENGELBERT,EH NG G IH L B ER T
28517,MUNCHING,M AH N CH IH NG
28518,DAYA'S,D AY AH Z
28519,DOSAGES,D OW S IH JH IH Z
28520,OUTLASTING,AW T L AE S T IH NG
28521,UKRAINE,Y UW K R EY N
28522,PAULS,P AO L Z
28523,THROTTLING,TH R AA T AH L IH NG
28524,MIRELLE,M ER EH L
28525,HOLLINS,HH AA L IH N Z
28526,EUROCHECKS,Y UW R AH CH EH K S
28527,SHARBONO,SH AA R B OW N OW
28528,SUEDE,S W EY D
28529,SPINES,S P AY N Z
28530,COUNTERING,K AW N ER IH NG
28531,BANASIAK,B AH N AA S IY AE K
28532,GLUTTONS,G L AH T AH N Z
28533,ARTHRITIS,AA R TH R AY T AH S
28534,REUTHER,R OY DH ER
28535,FUTONS,F UW T AA N Z
28536,COMPOSITES,K AH M P AA Z AH T S
28537,SPACIAL,S P EY SH AH L
28538,RIMPOCHET,R IH M P OW CH AH T
28539,ANDER,AE N D ER
28540,SAVILLE,S AA V IH L
28541,RECOMMENDS,R EH K AH M EH N D Z
28542,HODGIN,HH AA JH IH N
28543,HURWITZ,HH ER W IH T S
28544,NEOPROBE,N IY OW P R OW B
28545,MEINHARDT,M AY N HH AA R T
28546,BRAUDE,B R AO D
28547,REKER,R IY K ER
28548,ALDAY,AE L D EY
28549,JIN,JH IH N
28550,ADVISED,AE D V AY Z D
28551,AFRICANS,AE F R AH K AH N Z
28552,MINORITIES,M AY N AO R AH T IY Z
28553,SCHEMEL,SH EH M AH L
28554,UNDERSHIRT,AH N D ER SH ER T
28555,DISPARAGE,D IH S P EH R IH JH
28556,MULHEREN'S,M AH L HH EH R AH N Z
28557,CARTOONS,K AA R T UW N Z
28558,OVERPROTECTIVE,OW V ER P R AH T EH K T AH V
28559,AFTERTHOUGHT,AE F T ER TH AO T
28560,BROUILLARD,B R W IY L AA R D
28561,IRAQI,AY R AE K IY
28562,ARCHANGEL,AA R K EY N JH AH L
28563,SUBTLETY,S AH T AH L T IY
28564,CELT,S EH L T
28565,MARSALIS,M AA R S AH L IH S
28566,INSINUATING,IH N S IH N Y UW EY T IH NG
28567,MICCICHE,M IY CH IY K IY
28568,SPINOFFS,S P IH N AO F S
28569,TINSEL,T IH N S AH L
28570,EMMAUS,EH M AW S
28571,AUDITORIUM,AO D AH T AO R IY AH M
28572,WETZSTEIN,W EH T S T AY N
28573,TERRACE,T EH R AH S
28574,DURNING,D ER N IH NG
28575,BOHLAND,B OW L AH N D
28576,ZENINA,Z EH N IY N AH
28577,BOTTECELLI,B AO T AH CH EH L IY
28578,KINNUNEN,K IH N AH N AH N
28579,PHANTOMS,F AE N AH M Z
28580,BRESSER,B R EH S ER
28581,PARMETER,P AA R M IH T ER
28582,LENTINAN,L EH N T IH N AH N
28583,DULEY,D Y UW L IY
28584,QUIBBLES,K W IH B AH L Z
28585,BLITHE,B L AY DH
28586,ROCKWOOD,R AA K W UH D
28587,AMPHOPHILIC,AE M F AH F IH L IH K
28588,INFLICT,IH N F L IH K T
28589,OUR,AA R
28590,BERST,B ER S T
28591,BEASTON,B IY S T AH N
28592,TANNEST,T AE N IH S T
28593,WHITENER,W AY T N ER
28594,EDES,IY D Z
28595,BUEHRER,B Y UW ER
28596,DAVISON,D EY V IH S AH N
28597,MERTA,M EH R T AH
28598,LICK,L IH K
28599,LOUREIRO,L UH R EH R OW
28600,ENFORCES,EH N F AO R S IH Z
28601,VIOLABLE,V AY AH L AH B AH L
28602,EISSLER,AY S AH L ER
28603,MANDIE,M AE N D IY
28604,GRONBERG,G R AA N B ER G
28605,OCTAHEDRON,AA K T AH HH IY D R AH N
28606,STIMMEL,S T IH M AH L
28607,PROTESTANT,P R AA T AH S T AH N T
28608,BAYS,B EY Z
28609,DISAGREEMENT,D IH S AH G R IY M AH N T
28610,DIURNAL,D AY ER N AH L
28611,EXCITEDLY,IH K S AY T AH D L IY
28612,URIAS,Y ER IY AH Z
28613,KRIZEK,K R IH Z EH K
28614,DIVEST,D AY V EH S T
28615,COMEAU,K AH M OW
28616,FORTAS,F AO R T AH S
28617,KIEF,K IY F
28618,ROOK,R UH K
28619,WALDROP,W AO L D R AA P
28620,MISCONSTRUE,M IH S K AH N S T R UW
28621,ALLYS,AE L AY Z
28622,GENERALE,JH EH N ER AE L
28623,ANTOLIK,AE N T AH L IH K
28624,JAGGERS,JH AE G ER Z
28625,PESCHEL,P EH SH AH L
28626,RECO,R EH K OW
28627,PERINI,P ER IY N IY
28628,GROTE,G R OW T
28629,ASSAILANTS,AH S EY L AH N T S
28630,BENEL,B EH N AH L
28631,REISDORF,R AY S D AO R F
28632,KASDORF,K AE S D AO R F
28633,SOPHISTICATED,S AH F IH S T AH K EY T IH D
28634,FASSLER,F AE S L ER
28635,PITCHING,P IH CH IH NG
28636,AUTOBON,AA T AH B AA N
28637,ZIRK,Z ER K
28638,ATTENUATED,AH T EH N Y UW EY T IH D
28639,HIRSUTE,HH ER S UW T
28640,SKIBA,S K AY B AH
28641,PIRKEY,P ER K IY
28642,BRENTANOS,B R EH N T AA N OW Z
28643,GARGILL,G AA R JH IH L
28644,RATHER,R AH DH ER
28645,COLLECTIONS,K AH L EH K SH AH N Z
28646,BAZAAR,B AH Z AA R
28647,SIEJA,S EY JH AH
28648,CHENGXIANG,CH EH NG SH Y AA NG
28649,PRESSURES,P R EH SH ER Z
28650,ABSCESS,AE B S EH S
28651,MUMMIFY,M AH M AH F AY
28652,RODI,R OW D IY
28653,RUNYON,R AH N Y AH N
28654,IMPLICIT,IH M P L IH S AH T
28655,KLINGLER,K L IH NG G L ER
28656,SUPAK,S UW P AH K
28657,SNELLING,S N EH L IH NG
28658,SUBS'S,S AH B Z IH Z
28659,DORNEY,D AO R N IY
28660,NACHTIGAL,N AE CH T IH G AH L
28661,CAUSATIVE,K AA Z AH T IH V
28662,BOLDS,B OW L D Z
28663,DENGUE,D EH N G
28664,LAPINE,L AA P IY N IY
28665,FLEEING,F L IY IH NG
28666,BUDDHISTS,B UW D AH S T S
28667,MINELLI,M IH N EH L IY
28668,STEIMLE,S T IY M AH L
28669,DATABASES,D AE T AH B EY S IH Z
28670,GABRIEL'S,G EY B R IY AH L Z
28671,COKIE,K OW K IY
28672,APPARATUS,AE P ER AE T AH S
28673,MILLIONAIRE,M IH L Y AH N EH R
28674,COMINCO,K OW M IH NG K OW
28675,BETTING,B EH T IH NG
28676,BRADER,B R AE D ER
28677,STRATAS,S T R AE T AH Z
28678,JUVENILES,JH UW V AH N AY L Z
28679,RACCA,R AE K AH
28680,HYMNAL,HH IH M N AH L
28681,GENISCO,JH EH N IH S K OW
28682,RULLI,R UW L IY
28683,CLAMEN,K L EY M AH N
28684,DON'T,D OW N
28685,FOGLER,F OW G AH L ER
28686,HOLLY'S,HH AA L IY Z
28687,ROSENBOOM,R OW Z AH N B UW M
28688,WHIZZED,HH W IH Z D
28689,BIELECKI,B AY L EH K IY
28690,BACKROOMS,B AE K R UW M Z
28691,HOLING,HH OW L IH NG
28692,TUFTE,T AH F T
28693,DEVIATES,D IY V IY EY T S
28694,BARGMAN,B AA R G M AH N
28695,TERMINATE,T ER M AH N EY T
28696,CAW,K AO
28697,PONDIMIN,P AA N D AH M IH N
28698,GEOFFREY,JH EH F R IY
28699,SUBJECTS,S AH B JH EH K T S
28700,BICARBONATE,B AY K AA R B AH N AH T
28701,RAPIDS,R AE P IH D Z
28702,ZURAWSKI,Z ER AA F S K IY
28703,SCHIAVI,S K IY AA V IY
28704,GOW,G AW
28705,AGNELLA,AE G N EH L AH
28706,ARLINDA,AA R L IH N D AH
28707,DEMOCRACY,D IH M AA K R AH S IY
28708,HOSCH,HH AO SH
28709,WESTINGHOUSE'S,W EH S T IH NG HH AW S IH Z
28710,HRNCIR,HH ER N CH ER
28711,DIFFERENTIALS,D IH F ER EH N SH AH L Z
28712,PAIK,P EY K
28713,ULLERY,UW L ER IY
28714,BUDGETED,B AH JH IH T AH D
28715,FLAGSTAFFS,F L AE G S T AE F S
28716,YELLOWS,Y EH L OW Z
28717,STAMMEN,S T AE M AH N
28718,WICHMANN,W IH CH M AH N
28719,WASSENAAR,W AO S IH N AA R
28720,INSTANTIATING,IH N S T AE N SH IY EY T IH NG
28721,WERNLI,W ER N L IY
28722,KICKED,K IH K T
28723,SMARTED,S M AA R T AH D
28724,KNISLEY,N IH S L IY
28725,EUDOSIA,Y UW D OW S IY AH
28726,KITTLES,K IH T AH L Z
28727,BONAVITA,B OW N AA V IY T AH
28728,POLSBY,P OW L Z B IY
28729,CORPORATISM,K AO R P ER AH T IH Z AH M
28730,FALCOFF,F AE L K AO F
28731,DEVINO,D IH V IY N OW
28732,CROUCHER,K R AW CH ER
28733,ELEY,IY L IY
28734,MENDIVIL,M EY N D IY V IY L
28735,BEACHHEAD,B IY CH HH EH D
28736,SCHLAGEL,SH L AE G AH L
28737,HARLIN'S,HH AA R L IH N Z
28738,EDITING,EH D IH T IH NG
28739,WAVED,W EY V D
28740,LEDGER,L EH JH ER
28741,GARRAWAY,G AE R AH W EY
28742,POUNDSTONE,P AW N D S T OW N
28743,NORWAY,N AO R W EY
28744,CRISTOBEL,K R IH S T AH B EH L
28745,CLECKNER,K L EH K N ER
28746,POLYGON,P AA L IH G AA N
28747,DIODATO,D IY OW D AA T OW
28748,HURTEAU,HH ER T OW
28749,FOSSILIZED,F AA S AH L AY Z D
28750,MCBURNETT,M AH K B ER N AH T
28751,SENSING,S EH N S IH NG
28752,KOLBERT,K OW L B ER T
28753,UNSWORTH,AH N S W ER TH
28754,VIPPERMAN,V IH P ER M AH N
28755,GALLS,G AO L Z
28756,HAUGHT,HH AO T
28757,BRAWN,B R AO N
28758,BUCKED,B AH K T
28759,ZAPRUDER,Z AH P R UW D ER
28760,MENDES,M EY N D EH S
28761,MOVIEGOER,M UW V IY G OW ER
28762,EDGAR'S,EH D G ER Z
28763,GUFFAWS,G AH F AO Z
28764,KLEER,K L IH R
28765,HUFNAGLE,HH AH F N EY G AH L
28766,MISDIRECT,M IH S D IH R EH K T
28767,YOUTHFUL,Y UW TH F AH L
28768,CLAUS',K L AO Z
28769,PHASING,F EY Z IH NG
28770,TUGBOAT,T AH G B OW T
28771,BAGHLI,B AE G L IY
28772,SPECIMEN,S P EH S AH M AH N
28773,HUMFRY,HH AH M F ER IY
28774,ANTIMATTER,AE T AY M AE T ER
28775,SACKING,S AE K IH NG
28776,BILDERBACK,B AY L D ER B AE K
28777,DORNAK,D AO R N AH K
28778,LESABRES,L EH S AH B R AH S
28779,ALFIN,AE L F IH N
28780,BOAZ,B OW AE Z
28781,LEBED,L EH B EH D
28782,ZEIDLER,Z AY D AH L ER
28783,KARAS,K AA R AH Z
28784,LACERTE,L AA CH EH R T IY
28785,FEDERATIONS,F EH D ER EY SH AH N Z
28786,UNTREATED,AH N T R IY T IH D
28787,REIMAN,R AY M AH N
28788,FURGERSON,F ER G ER S AH N
28789,DRAINING,D R EY N IH NG
28790,SPOKE,S P OW K
28791,ENMITIES,EH N M IH T IY Z
28792,EXPLICATE,EH K S P L AH K EY T
28793,MCELRATH,M AH K EH L R AE TH
28794,BRANDEN,B R AE N D AH N
28795,SMOSHED,S M UH SH T
28796,WORKMAN,W ER K M AH N
28797,CASTILLE,K AE S T IH L
28798,LOMBARDS,L AA M B AA R D Z
28799,VENN,V EH N
28800,ROSARIA,R OW Z AA R IY AH
28801,ALGOL,AE L G AA L
28802,ZUPANCIC,Z AH P AE NG K IH K
28803,QUINNELL,K W IH N AH L
28804,SAMS,S AE M Z
28805,GAMING'S,G EY M IH NG Z
28806,SEDUCTIVE,S IH D AH K T IH V
28807,RPM,AA R P IY EH M
28808,STRASSER,S T R AE S ER
28809,ISRAEL,IH Z R IY AH L
28810,PINCERS,P IH N S ER Z
28811,PEEVES,P IY V Z
28812,CAFTANS,K AE F T AE N Z
28813,BERATE,B IH R EY T
28814,DURING,D ER IH NG
28815,BORDEAU,B ER D OW
28816,HERBARIUMS,HH ER B EH R IY AH M Z
28817,ONCOGENES,AA NG K AA JH EH N IY S
28818,BENDALL,B EH N D AH L
28819,CULTS,K AH L T S
28820,STRESSFUL,S T R EH S F AH L
28821,MERKSAMER,M ER K S AH M ER
28822,PARAPET,P EH R AH P EH T
28823,MAIL,M EY L
28824,REVOKE,R IH V OW K
28825,KIOUS,K AY AH S
28826,WAL,W AO L
28827,ALSBURY,AE L Z B EH R IY
28828,KEARLEY,K ER L IY
28829,KOSCO,K OW S K OW
28830,PLUNKER,P L AH NG K ER
28831,TANDON,T AE N D AH N
28832,KIRKEY,K ER K IY
28833,BETWEEN,B IY T W IY N
28834,SHAUN,SH AO N
28835,CAWOOD,K AA W UH D
28836,INAUGURATING,IH N AO G Y ER EY T IH NG
28837,MOONLIGHTING,M UW N L AY T IH NG
28838,BABBLERS,B AE B L ER Z
28839,TEW,T UW
28840,SUMNER,S AH M N ER
28841,JUNKED,JH AH NG K T
28842,PENTRON,P EH N T R AH N
28843,POLY'S,P AA L IY Z
28844,BOYSEN,B OY S AH N
28845,CRUSHERS,K R AH SH ER Z
28846,MASCARENA,M AE S K ER IH N AH
28847,RHETORICIANS,R EH T ER IH SH AH N Z
28848,HURVEY,HH ER V IY
28849,CLERGY,K L ER JH IY
28850,BOBCATS,B AA B K AE T Z
28851,STOFFREGEN,S T AA F R IH G AH N
28852,DOSSEY,D AA S IY
28853,HAGIWARA,HH AA G IH W AA R AH
28854,PUMPED,P AH M P T
28855,COPIOUS,K OW P IY AH S
28856,DIVESTED,D AY V EH S T IH D
28857,GLOMAR,G L OW M AA R
28858,VANCOURT,V AH N K AO R T
28859,ISIS,AY S AH S
28860,BUN,B AH N
28861,SEVERIN,S EH V ER IH N
28862,MATZNER,M AE T S N ER
28863,COLOMBO,K AH L AH M B OW
28864,DOGGING,D AO G IH NG
28865,OURADA,OW UH R AA D AH
28866,GERSTEIN,G ER S T AY N
28867,CLINTONS',K L IH N T AH N Z
28868,PRELL,P R EH L
28869,SAND'S,S AE N D Z
28870,WHITTINGHAM,HH W IH T IH NG HH AE M
28871,BIXEL,B IH K S AH L
28872,GUNDER,G AH N D ER
28873,DEFENSIVENESS,D IH F EH N S IH V N AH S
28874,SEAGOING,S IY G OW IH NG
28875,SUBGROUP,S AH B G R UW P
28876,PETRELLI,P EH T R EH L IY
28877,ACERO,AH S Y EH R OW
28878,MITSCHKE,M IH CH K
28879,SILENCE,S AY L AH N S
28880,MOLLENHAUER,M AA L IH N HH AW ER
28881,ALEXANDER'S,AE L AH G Z AE N D ER Z
28882,CENCI,CH EH N CH IY
28883,CONSOL,K AA N S AA L
28884,ECOLOGY,IY K AA L AH JH IY
28885,WANER,W EY N ER
28886,MCNAMARA'S,M AE K N AH M EH R AH Z
28887,WEINGARTNER,W AY NG G AA R T N ER
28888,WHITLOCK,W IH T L AA K
28889,NINETY,N AY N T IY
28890,REPRODUCTION,R IY P R AH D AH K SH AH N
28891,REINSTATING,R IY IH N S T EY T IH NG
28892,CONTORTION,K AH N T AO R SH AH N
28893,MARKOWICZ,M AA R K AH V IH CH
28894,UNDERNEATH,AH N D ER N IY TH
28895,DELANCY,D EH L AH N S IY
28896,NOAA,EH N OW EY EY
28897,NORPLANT,N AO R P L AE N T
28898,MACVICAR,M AH K V IH K ER
28899,CRISPO,K R IY S P OW
28900,FRANKISH,F R AE NG K IH SH
28901,BELLIS,B EH L IH S
28902,RECENTLY,R IY S AH N T L IY
28903,BREITHAUPT,B R AY TH AW P T
28904,WASPS,W AA S P S
28905,GUEST,G EH S T
28906,FORSTER,F AO R S T ER
28907,SUNOBE,S UW N OW B IY
28908,PRESIDIO,P R IH S IH D IY OW
28909,FORK-LIFT,F AO R K L IH F T
28910,CROFTS,K R AO F T S
28911,BUG,B AH G
28912,GRAFFEO,G R AA F IY OW
28913,SHORTER,SH AO R T ER
28914,MISBEHAVING,M IH S B AH HH EY V IH NG
28915,FRANTICALLY(4),F R AE N AH K L IY
28916,SILSBY,S IH L S B IY
28917,INTERPRETER,IH N T ER P R AH T ER
28918,ACCOR,AE K AO R
28919,LABELLED,L EY B AH L D
28920,HOLDSWORTH,HH OW L D Z W ER TH
28921,GLITTER,G L IH T ER
28922,SLEEVES,S L IY V Z
28923,MEDINA,M AH D AY N AH
28924,MULTILEVEL,M AH L T IY L EH V AH L
28925,HOLLAND,HH AA L AH N D
28926,BOILERMAKER,B OY L ER M EY K ER
28927,PRAKASH,P R AA K AA SH
28928,CURACAO,K Y UH R AH S AW
28929,CHARGER,CH AA R JH ER
28930,MOTHER,M AH DH ER
28931,HANDLOOMS,HH AE N D L UW M Z
28932,DEVICES,D IH V AY S AH Z
28933,CRACKDOWNS,K R AE K D AW N Z
28934,VIVIE,V IH V IY
28935,STANGA,S T AA NG G AH
28936,MESENBRINK,M EH S IH N B R IH NG K
28937,HAIRGROVE,HH AY R G R AH V
28938,LETICIA,L AH T IH SH AH
28939,FIBER'S,F AY B ER Z
28940,DEPOSED,D IH P OW Z D
28941,PASTRIES,P EY S T R IY Z
28942,DART,D AA R T
28943,CUERVO,K UH R V OW
28944,D'AGOSTINO'S,D AA G AH S T IY N OW Z
28945,RAQUEL,R AH K EH L
28946,SCARCITY,S K EH R S IH T IY
28947,ELSON,EH L S AH N
28948,MAKERS,M EY K ER Z
28949,CONDELLO,K AH N D EH L OW
28950,HATE,HH EY T
28951,GENEALOGY,JH IY N IY AA L AH JH IY
28952,EMERGENT,IY M ER JH AH N T
28953,GOMEZ,G OW M EH Z
28954,PUBCO,P AH B K OW
28955,SEQUENCES,S IY K W AH N S IH Z
28956,MELLOAN'S,M EH L OW N Z
28957,BOZELL'S,B OW Z EH L Z
28958,MOLER,M OW L ER
28959,JEROD,JH EH R AH D
28960,WHIP,W IH P
28961,HELPRIN,HH EH L P R IH N
28962,REPEATER,R IH P IY T ER
28963,GUESSER,G EH S ER
28964,BUNNELL,B AH N AH L
28965,IRRIGATION,IH R AH G EY SH AH N
28966,WHELAN,HH W IY L AH N
28967,PETITIONER,P AH T IH SH AH N ER
28968,YEAROUT,Y IH R AW T
28969,TRIAD'S,T R AY AE D Z
28970,STIMSON,S T IH M S AH N
28971,DICKENSIAN,D IH K EH N Z IY AH N
28972,JOSPIN,JH AA S P IH N
28973,DECAPITATION,D IH K AE P IH T EY SH AH N
28974,RIVERBANK,R IH V ER B AE NG K
28975,LAWBREAKER,L AO B R EY K ER
28976,PENTAGON'S,P EH N IH G AA N Z
28977,MULTIPLICATION,M AH L T AH P L AH K EY SH AH N
28978,RECUPERO,R EY K UW P EH R OW
28979,PERHAPS,P ER HH AE P S
28980,DIFFER,D IH F ER
28981,MATCHMAKER,M AE CH M EY K ER
28982,WITHINGTON,W IH TH IH NG T AH N
28983,HIBAAQ,HH AY B AE K
28984,MOSTAR,M OW S T AA R
28985,FIZER,F AY Z ER
28986,CITIBANK,S IH T IY B AE NG K
28987,EXCLAIMED,IH K S K L EY M D
28988,BRAE,B R EY
28989,JACKY'S,JH AE K IY Z
28990,HISE,HH AY Z
28991,STEIMER,S T AY M ER
28992,SENNET,S EH N AH T
28993,SHUT,SH AH T
28994,AGNOSIO,AE G N OW S IY OW
28995,SARCOMA,S AA R K OW M ER
28996,PIRELLI,P IH R EH L IY
28997,NONPAYING,N AA N P EY IH NG
